Engine,weblink,imagelink,description,Pros,Cons,,,
Diffit,https://www.diffit.com,diffit.png,AI-powered text adaptation and rewriting tool.,Extra_With Diffit you can upload your own documents. The AI-tool also includes a wide variety of books from which chapters can be selected to differentiate texts. Apart from adapting texts Diffit can also generate questions based on a text.;Options_Diffit allows you to choose between different grade levels when adapting a text. Alongside this the AI-tool also asks several questions before generating the content to create materials that match your preferences.; Fast_This AI-tool adapts text in under a minute.,"Limited usage_When you sign up you get a 28-day free trial with unlimited access to everything. When the trial period has passed your account will automatically revert to the basic version of Diffit and you will need to pay to use certain features. You will still have access to features such as adapting texts and generating questions.""",,,
EaseMate AI,https://www.easemate.ai/ai-video-generator  ,easemate.png,,Options_With EasyMate AI you can choose which AI model you want to use to generate your video. There is a wide range of AI models available.,Limited usage_Just like Vivago AI you can only start of by generating one free video per account. In addition to that you can do daily check-ins to earn a small number of credits but the rewards are quite limited.;Slow_EasyMate AI is very slow compared to Runway or Vivago AI for example but it doesn’t beat HeyGen.,,,
ElevenLabs,https://elevenlabs.io,elevenlabs.png,AI voice synthesis and dubbing platform.,Fluent_Similar to PI the speech is very good with Elevenlabs.;Options_ElevenLabs has a broad variety of voices to choose from.;Multilingual_This AI tool supports many languages.,Complex_ElevenLabs is not very user-friendly for first-time users as the homepage can feel overwhelming.;Limited usage_With this AI-tool you only get 10000 credits and they won’t refill unless you pay for the Pro version.,,,
Flint,https://flintk12.com/tools/ai-text-leveler ,flintai.png,,Multilingual_Flint supports a wide range of languages.;Extra_There are multiple features you can access with Flint apart from the text adapter. All of these features are free to use. Most of these features are similar to SchoolAI or CoGrader for example. Next to a lesson plan generator and a rubric generator Flint also has a worksheet generator and a feature for grading papers.,Complex_Finding all the features on Flint is not easy. To see them you need to ask Sparky (your AI teaching assistant). Once you click on it the AI features appear and you can select the one you want to use.,,,
FLUX,https://playground.bfl.ai/image/generate,flux.png,,Options_FLUX generates four different images for one prompt.;Less limited_With the free version of FLUX you get to make twelve prompts which is equal to around fifty images.;Extra_Like Leonardo AI this AI-tool also has several extra features. One feature called ‘expand’ lets you increase the size of an image. Another feature called ‘fill’ allows you to select and change a part of an image although the quality is not always very good.,Requires login_You need to create an account before you can use any of the features on this website.;Moderation_FLUX might often refuse to generate certain prompt because it allegedly oversteps certain guidelines. ,,,
Gamma,https://gamma.app/,gamma.png,AI presentation and document creation tool.,Fast_Gamma generates a presentation in under a minute.;Aesthetically pleasing_Presentations from Gamma have modern designs and are visually appealing due to the appropriate use of images.; Comprehensive_If you give Gamma a simple topic such as ‘common prepositions’ it will include all the necessary information such as grammar rules and even exercises.;Multilingual_Gamma supports a wide variety of languages to create presentations.,Limited usage_With Gamma you can only create presentations of up to ten slides on the free plan. The app limits users through AI credits meaning that a paid plan is required to create more or longer presentations. This also means that exporting the presentation to PPT is not part of the free plan.;Limited design control_ With Gamma you don’t have full manual customization control. While you can change most of the layout features and edit the information in your presentation. You can not freely place everything wherever you want or edit images.,,,
Gemini,https://gemini.google.com,gemini.png,Google's multimodal AI assistant.,Less limited_Compared to other general AI assistants Gemini can do a bit more for free. Gemini creates and modifies images similarly to ChatGPT but it doesn’t have the same short daily limit. In addition to that Gemini can also generate videos within the free version but this does take some time.;Sources_Gemini often provides sources when asked to create an image or write a text about a certain topic. This shows that it uses information from the internet to improve what it is generating.;Convenient_Gemini can be linked to other Google services like Gmail or Google Calendar. This makes it easier to manage emails and access information across your Google account without switching between tabs.;Efficient_Gemini is a good general AI to use for analyzing larger documents and using them for tasks such as summarizing or helping with solving exercises.,Rigid_Although Gemini does also allow multiple conversations just like ChatGPT it organizes them differently. This makes switching between multiple chats feel less flexible.;Inconsistent_Compared to other general AI assistants Gemini can occasionally give shorter or less detailed answers. It’s also slightly weaker when it comes to following instructions provided. For example it may miss a piece of information you provided or go into detail about something you didn’t ask for. Though this rarely happens.,,,
Grammarly,https://app.grammarly.com/ ,grammarly.png,,Multilingual_Grammarly supports more than thirty languages.;Quality_Like the name suggests Grammarly doesn’t just help with correcting spelling but also with improving your grammar. Next to this it also provides options to make the structure of your text sound clearer. Although the free version has a lot of limits it is still much better compared to other free online writing tools.;Extra_This AI-tool can also be added as a browser extension in Google Chrome which allows it access to your other tabs. This allows you to use it directly in other websites such as Gmail or even you online WhatsApp.,Limited_Grammarly offers a limited number of AI prompts in the free versions. If you sign up for the Pro version you also get access to a few other useful AI-tools. For example an AI detector.,,,
HeyGen,https://app.heygen.com,heygen.png,AI talking avatars and presentation videos.,Extra_Besides generating videos HeyGen also offers several other features. One of the most useful is the translation element. With this you can upload a video and translate it into a language of your choice.;Multilingual_HeyGen has a broad range of languages you can choose from.;Quality_The overall aesthetics of the generated videos are very good. Especially when using the translation feature you can clearly see the high quality. ,Slow_It can take up to ten minutes to generate a video with HeyGen. Compared to other video generators out there this one definitely takes the longest.,,,
Ideogram AI,https://ideogram.ai/,ideogram.png,,Options_A similarity that Ideogram AI shares with Midjourney is the fact that it generates four images every prompt you give.;Limited_ Even though you can only generate a limited number of images based on your credits those credits refresh every week.,Privacy_Images generated with Ideogram AI are visible to everyone.,,,
Kira,https://app.kira-learning.com/ai-tools/text-leveler-v2/,kira.png,...,Quality_The rewritten text is of good quality. It is very similar to the version in LessonUp but with this AI-tool you can upload a file with your text in it.;Extra_Kira has a large library of AI tools that can help teachers. For example one of the features similar to a feature of SchoolAI is ‘vocabulary list’ with which you can create word lists with definitions. Another feature is ‘text translator’ which translates text into another language and much more.,Complex_When entering the homepage of this AI-tool everything might seem a bit confusing at first. There are a lot of features in Kira that might make it hard to find the specific AI feature you want to use.,,,
Knowt  ,https://knowt.com/home,knowt.png,,Extra_Just like similar AI-tools Knowt has multiple features apart from the text adapter to help teachers. For example it includes a lesson plan generator and a PowerPoint summarizer.;Multilingual_Knowt has a wide range of languages that it supports.;Editing_After adapting your text to a certain grade level you can edit it manually. Knowt has a built-in text editor where you can change almost anything and even add images.,Login required_To use Knowt you need to create an account. This AI-tool will ask you who you are and if you select teacher you will have less access to certain features than if you select the student option.;Slow_Compared to CoGrader or LessonUp this AI tool is slower.;Complex_Knowt can feel a bit difficult at first when trying to access all the AI features. They are not visible on the homepage so to find them you need to use the search bar.,,,
LanguageTool,https://languagetool.org/ ,languagetool.png,,Extra_Similar to other AI-tools such as QuillBot this AI-tool can be added as an extension to your Google browser. It also allows you to upload Word documents unlike Grammarly for example.; Multilingual_LanguageTool supports a wide range of languages.;Quality_This AI-tool gives a clear overview of your mistakes and then shows some recommended changes next to your mistakes. LanguageTool  even has a feature where you can rephrase any sentence you select. This feature also gives you multiple synonyms for words to help you change your sentence structure.,Limited usage_LanguageTool has a limit of 2000 characters per text and you can only rephrase around three sentences before reaching your daily limit.,,,
Leonardo AI,https://leonardo.ai,leonardo.png,AI art and game asset creation platform.,Generous_Leonardo AI is a lot less limited than other AI images or video generators. The amount of credits you get to generate something refreshes every 24 hours.;Extra_Compared to Midjourney or Dall-E this AI-tool has a lot of other elements that u can use. For example there is a feature called ‘real-time canvas’ where you can draw something and then it will rework this drawing instantly in a box next to the drawing you made. ‘Universal upscaler’ is another feature that you can use to increase an image’s resolution. ,Privacy_Everything you create is released to the public when using the free version.,,,
LessonUp ,https://www.lessonup.com/en/app/ai-tools ,lessonup.png,...,Fast_LessonUp will rewrite a text in less than a minute.;Multilingual_LessonUp supports a wide range of different languages.;Options_This AI-tool allows you to choose between different grade levels to adapt the text.,Limited_With LessonUp you cannot upload documents. Instead you need to copy and paste your text into the provided box. This leads to a maximum limit of 10000 characters per input.;Quality_Overall it is quite good. This AI-tool is closely related to Kira. The only difference being that here you cannot upload a document. ,,,
Midjourney,https://www.midjourney.com,midjourney.png,Creative AI Image generator platform.,Advanced_Quality-wise Midjourney is one of the best image generators. It also has certain elements you can add to images such as animation so the images feel more alive.;Options_Midjourney generates four different image variations per prompt by default in order to generate the perfect image. It then allows users to choose the best one and if needed refine it further.,Paywalled_ Nothing about Midjourney is free. All features require a paid plan.;Privacy_Everything you create with Midjourney goes public automatically.,,,
OpenArt AI,https://openart.ai/suite/home,openartai.png,,Advanced_Among all the free AI image generators OpenArt AI might be the strongest. It listens to the prompt really well.;Multimodal_While you can only generate images for free OpenArt AI also offers audio and video generation features. Unfortunately these are only available if you have enough credits for which you need to pay.,Slow_OpenArt AI can take up to a few minutes to generate an image.;Limited usage_You only have a few credits to create images before you need to pay for a subscription.,,,
Paperpal,https://paperpal.com/,paperpal.png,,Extra_Paperpal also offers additional features such as a plagiarism checker and a paraphrasing tool.;Multilingual_This AI-tool supports many languages.,Quality_Although this tool supports many languages it is not as accurate as other AI-tools such as LanguageTool or Grammarly. Paperpal tends to overlook spelling mistakes in languages other than English.;Slow_When uploading a Word document it takes about a minute to analyse it while other similar AI-tools only take around 10 seconds to scan the text.;Limited usage_The AI tool Paperpal has a few limitations in the free plan. For example the paraphrasing tool can only be used up to five times per day. Your word limit for the plagiarism checker is only 7000 characters a month.,,,
Perplexity,https://www.perplexity.ai,perplexity.png,AI-powered conversational search engine.,Efficient_Perplexity performs factual research better than other AI assistants such as ChatGPT.;Fast_This AI-tool is slightly faster than other general AI assistants like Gemini or Copilot.,Multifunctional_Within Perplexity’s free plan you can only generate two images. Unlike answering questions image generation can take up to a minute.;Limited usage_The free plan of Perplexity allows you to upload documents but you can only upload a few per day.,,,
Pika,https://pika.art/ ,pika.png,,Fast_Compared to Vivago AI generation a video with Pika only takes around a minute.;Extra_Pika has some special features where you can swap items in a video with something else. Another feature is ‘add to’ where you can upload an image of an object you want to add to your video.,Limited usage_The free version of Pika only gives a small amount of credits but they do refresh monthly. The entire amount of credits is less than what other A- tools like Synthesia for example offer.;Quality_Overall the videos look pretty decent but if you download the video on the free plan the resolutions are not great. ,,,
PixVerse ,https://pixverse.ai/en ,pixverse.png,,Quality_Even with the free plan the generated videos are of impeccable quality and the downloaded versions are in high resolution. The only downside might be the watermark at the top of the video.;Fast_Just like Runway and Pika this AI-tool generates videos at a very fast pace.,Limited usage_PixVerse gives free daily credits. These are enough to generate about two short videos a day. ,,,
PopAI,https://www.popai.pro/,popai.png,,Sources_PopAI provides a list of websites it used to create the presentation based on the topic you provided.;Multilingual_PopAI offers support for various languages. ,Slow_PopAI takes a lot longer than most AI presentation tools. It is still a lot quicker than making a presentation from scratch. Compared to Gamma for example PopAI takes a few more minutes.;Aesthetic_Slides from presentations created by PopAI are very text-heavy and will need some adjusting to make them more presentable for students.;Limited usage_Not only do you have only one presentation you can make each account without paying for a subscription but the free version also has some strict limits. For example you cannot export the presentation and editing is less flexible than with other AI presentation tools.,,,
Presentations AI,https://app.presentations.ai/,presentationsai.png,,Easy_Presentations AI is very user-friendly especially for people who are used to working with PowerPoint. It is simple to edit images and adapt text.;Adjustable_Presentation AI shows a changeable outline before creating the final presentation allowing you to refine the content first. This helps save time later on.;Multilingual_Presentations AI can generate presentations in a variety of languages.,Aesthetic_ Presentations AI has a very boring structure and it’s the same one for each presentation. The design is quite plain so it’s not ideal for students. It’s mostly designed for a more formal setting like business-type work.;Limited usage_A lot of elements aren’t available if you don’t pay. For example exporting the presentation or the number of slides you can modify. Unlike other presentation AI-tools such as SlidesAI you can create a few more presentations for free.,,,
Prezi,https://prezi.com/,prezi.png,,Aesthetically pleasing_The presentations that Prezi create are visually very nice. It doesn’t use traditional slide by slide like Gamma for example but it still works as a presentation tool through a zoomable canvas.;Multilingual_Prezi also supports multiple languages not just English. Privacy_Presentations made by prezi are usually Public by default and you cannot make them private unless you pay.,Privacy_Presentations made by prezi are usually Public by default and you cannot make them private unless you pay.;Limited usage_The free plan that Prezi provides only features certain elements. You can’t make more than three presentations using the AI-tool. Other features such as exporting the presentation or adding an audio fragment are also locked behind a paywall.,,,
QuillBot,https://quillbot.com/grammar-check,quillbot.png,,Extra_Quilbot has a variety of other features such as an AI detector and a summarizer and so much more. Similar to Grammarly this AI-tool can be added as a google extension to help out with spelling over on other tabs or websites.;Quality_Next to improving and checking your grammar and spelling but it also gives some recommendations as to how to improve the flow of your writing.;,Multilingual_QuillBot only offers a small amount of languages when it comes to the writing assistant. When using the translation feature the options for the languages are almost unlimited.;Limited usage_Most features on QuillBot are available for free but some are locked behind a paywall such as the paraphrasing options. Other features like are limited in the sense that you can only upload a certain number of characters or generate a fixed amount of images.,,,
Quizgecko ,https://quizgecko.com/home ,quizgekko.png,,Options_Similar to Worksheet Wizard you can choose what type of exercises you want to generate.;Multilingual_Quizgecko offers a wide range of different languages.;Correction key_Quizgecko provides the answers to your worksheet. ,Limited usage_You can only generate a certain number of worksheets per month. Unlike other AI-tools though Quizgecko can generate up to 60 questions with a single prompt.;Online_There is no option to download the exercises as a document. The questions are originally created as online exercises but you can copy and paste them into your own work document.,,,
Runway,https://runwayml.com,runway.png,AI video editing and generation suite.,Extra_Though they are locked behind a paywall there are a bunch of different features you can use with Runway. For example ‘video editing’ where you can swap the background of a video or change the lighting of the video.;Fast_Runway generates videos and images faster than other AI-tools such as HeyGen or Synthesia.,Limited usage_Runway provides 1500 starting credits but once these are used up you need to subscribe to continue getting more. Unlike some other AI-tools there is no credit refill system.;Quality_This AI-tool does not follow prompts very well. The quality of the videos is quite poor especially when generating videos that involve real people.,,,
SchoolAI,https://app.schoolai.com/discover ,schoolai.png,,Generous_SchoolAI offers many AI features within its free plan. The features behind the paywall are mainly advanced administrative tools.;Editing_After rewriting a text you can regenerate it if it isn’t up to standard yet or edit it manually yourself. SchoolAI includes a built-in text editor with a layout similar to Word. Afterwards you can download the text as a PDF or Word document.;Extra_Just like Kira this AI tool has a wide variety of features to help teachers save time. For example one of the features is a ‘rubric’ which generates a rubric for your assignment. ‘Vocabulary list’ is another feature which allows you to create word lists with definitions.,Slow_SchoolAI takes slightly longer than other AI-tools like Diffit or LessonUp.,,,
SlidesAI,https://www.slidesai.io/fr/generate/topic-to-ppt,slidesai.png,,Specific_With SlidesAI you can choose to either create a sketch or a fully developed presentation. Before it generates a presentation SlidesAI won’t just ask you what language the presentation should be in but also asks you what the targeted audience is and how long the presentation should take. It also asks whether AI-generated images are allowed in the presentation or not.;Goals_SlidesAI also provides a list of the lesson goals that go along with the presentation which is different from other presentation AI-tools.,Aesthetics_When generating a presentation it can happen that some of the slides look very template-like.;Limited usage_Not only does SlidesAI limit you to one free presentation per account but you also need to pay for certain features when editing the created presentation. For example there is a restriction on how many words you can put on each slide which you won’t have if you pay for a subscription.,,,
SlidesGo,https://slidesgo.com/,slidesgo.png,,Limited_Although with Slidesgo you also have a limit like Gamma or Prezi you still can generate twice as many presentations. The limit on how many presentations and downloads you have refreshes every month.;Multilingual_Slidesgo supports multiple languages.,Editing_It is very difficult to edit slides. You cannot move images freely and can hardly place text boxes in different positions. The number of presentations and the amount of images you can create in a presentation are limited.,,,
StudyGlenAI ,https://studyglen.com/quiz ,studyglen.png,,Options_Similar to Worksheet Wizard you can choose the type of questions StudyGlenAI generates for you. You have multiple options such as true-false or short-answer questions. This AI-tool can also create images that match the questions.;Multilingual_StudyGlenAI supports over 37 languages.;Correction key_StudyGlenAI provides the answers with every generated worksheet. ,Limited usage_The free version of StudyGlenAI includes only five generated questions.;Slow_Compared to other AI tools StudyGlenAI can take up to 5 minutes to generate questions.,,,
Synthesia,https://www.synthesia.io,synthesia.png,AI avatar and video generation platform.,Extra_There are other features you can use with Synthesia besides just generating videos. A great one is the dubbing feature. This allows you to upload a video and it will translate it into the language of choice.;Multilingual_Synthesia supports a wide variety of languages.;Less limited_Synthesia offers 1200 credits to start with and refunds some of these credits each month. However the free plan does come with a lot of restrictions on what features you can use.,Slow_Generating a video with this AI-tool can take quite some time.;Moderation_Synthesia has a lot of guidelines and policies. This can cause certain video prompts or video adaptations to be rejected.,,,
Teacher Quill,https://teachquill.com/ai-text-leveler ,teacherquill.png,,Options_Apart from asking which grade level the text is meant for the AI tool also asks certain pre-prompt questions to make it easier to adapt the text to your preferences.;Extra_Similarly to Kira and Flint this AI-tool offers a bunch of other AI features especially ones for creating exercises just like Twee for example.;More_Next to just rewriting your text Teacher Quill also adds a list of all the key changes it made to the text as well as some teaching tips.,Slow_Just like Knowt this AI-tool is a bit on the slower side.,,,
TeachTools,https://teachtools.co/tools/worksheet-generator?welcome=1 ,teachtools.png,,Fast_Generating a worksheet with TeachTools takes less than a minute.;Extra_Just like Worksheetzone this AI-tool gives you access to a bunch of other features such as a lesson plan generator and a video summarizer.,Multilingual_Teachtools supports a few languages but only the ten most popular ones.;Limited usage_With the free plan of TeachTools you can only generate up to three items a month. You can however use every feature that TeachTools offers. None of the extra features are locked behind a paywall.; Correction key_ The answers to the exercises aren’t included when generating a worksheet with TeachTools.;Options_Although the AI-tool asks you how many different questions it should generate and for which grade level it doesn’t specify what type of questions it will generate. This leads to there being a lot of small text with multiple-choice questions. You also cannot generate more than 20 questions in one setting.,,,
Twee,https://www.twee.com,twee.png,AI lesson planning and educational content generator.,Resource_Twee can provide you with a list of grammar rules for specific topics you ask for. It will also help you create exercises with answers based on the topic.;Multilingual_Twee mostly focuses on English but it offers a variety of languages to create exercises. Specifically for English it also makes a clear distinction between British and American English.;Fast_ Twee can create exercises very quickly. For example when you create a matching exercise with pictures and words it generates the activity and then suggests other related exercises you can create using the same content.,Limited usage_While there is still a lot you can do most features or lesson plans on Twee require the Pro version which you need to pay $10 a month for.; Less-suitable_Most of the free ready-made lesson plans on Twee are very specific and are not always suitable for teachers who teach secondary school students between the ages of 12 and 16. This means that with the free version teachers may still need to adapt the material and lesson plan for their own class.;Unverified_The grammar explanations and exercises are AI-generated which means they are not always fully accurate.,,,
Varsity Tutors,https://ai.varsitytutors.com/tools/text-leveler  ,varsityt.png,,Less limited_With Varsity Tutors you can upload as many texts as you want for free. A possible downside is that each text must be under 10000 characters just like LessonUp.;Extra_This AI-tool has many different features that can help you save time. ‘Lesson plan generator’ and ‘rubric generator’ are two of the other AI features that Varsity Tutors offers. Most of these features are free of use.,Slow_Varsity Tutors takes longer to adapt a text compared to similar AI-tools like Kira or SchoolAI.,,,
Visme,https://www.visme.co/,visme.png,AI-tool to make presentations.,Style options_You can choose from different templates before the AI generates your presentation.;Multilingual_Visme supports a lot of different languages. The presentation can be made in almost every language.,Requires login_You need to create an account or sign in before using any features in Visme.;Slow_Generating a presentation can take a few minutes.;Paid features_Many features in Visme are locked behind a subscription. In order to upload your own documents to generate a presentation you need to pay. If you want to import or export your presentations to PowerPoint you also need a paid plan.;Limited usage_The free plan has a limited number of credits (~ 10 per month) which is enough for creating only a few presentations.,,,
Vivago AI,https://vivago.ai/studio,vivagoai.png,,Fast_Generating a video with Vivago AI only takes about five minutes. Compared to EaseMate AI or HeyGen this is very quick.,Limited usage_You only get one video generation on the free plan. To get more credits you need to watch ads but earning them takes a long time.;Quality_Although Vivago AI advertises high-quality video output the resolution of downloaded videos on the free plan is quite low.,,,
Worksheet Wizard ,https://worksheet-wizard.com/ ,worksheetwizard.png,,Fast_Worksheet Wizard generates exercises faster unlike other AI-tools such as LessonOrca or WorksheetZone for example.; Multilingual_ Worksheet Wizard supports a variety of languages.;Options_With Worksheet Wizard you can choose what type of exercises you want to generate unlike LessonOrca or TeachTools for example.,Limited usage_You can only generate five worksheets per month with the free version of Worksheet Wizard.,,,
WorksheetZone,https://worksheetzone.org/,worksheetzone.png,,Correction key_With WorksheetZone you immediately get the answers to your worksheet.;Multilingual_WorksheetZone supports a variety of languages.;Options_With WorksheetZone you can choose the preferred grade and the duration of the exercises. You can also decide what kind of questions you want generated such as individual exercises or guided practice.;Extra_WorksheetZone offers a bunch of other AI features. You can generate different exercises separately for specific types of questions. For example you may only want a crossword puzzle or a fill-in-the-blanks exercise. Not only that but WorksheetZone also offers a lesson plan generator as well as a rubric generator.,Slow_WorksheetZone takes a couple of minutes to generate a worksheet.;Limited usage_You can only generate a few worksheets every month when using the free version.,,,
Yeri AI,https://yeri.ai/,yeriai.png,,Less limited_Compared to other AI-tools you can create up to twenty images before your credits run out. Besides that they also fully reset after twenty-four hours.;Multimodal_Just like OpenArt AI this AI-tool can generate images and videos.,Quality_The quality of the images is significantly worse than other free AI-tools such as DALL-E or Leonardo AI.,,,
TalkPal AI,https://app.talkpal.ai/dashboard ,talkpalai.png,,"Less limited_Unlike the AI-tool PI you can have roleplay conversations with TalkPal AI. This can be useful for when students need to practice situations with a hotel manager or store owner for example. In most cases students only need to take on the role of the customer and this AI tool makes that possible. Important to know is that with the free plan, you only get up to ten minutes of free use per day with TalkPal AI.;Multilingual_This AI-tool supports a wide variety of languages.;Fluent_The speech in all languages is clear. Every now and then some words may sound a bit robotic.",Options_TalkPal AI only allows you to choose one voice or character in the free version.;Paywalled_With the free version of this AI-tool you can only access a basic chat where you can type and your AI tutor responds to you. Most other features require a premium subscription.,,,
Reverso,https://documents.reverso.net/Default.aspx?lang=en ,reverso.png,,Quality_The quality of translation is better with Reverso than with other AI-tools such as QuillBot or Paperpal because its primary focus is translation rather than grammar or spelling checking.;Extra_Reverso offers free grammar rules for certain English topics on its website.;Multilingual_This AI-tool supports over 25 languages for the translation feature but only four languages for grammar checking. ,Limited usage_With the free plan you get about 2500 words for document translation. This is a one-time use so there are no daily or monthly refreshes of your credits. When using the copy-and-paste method you have unlimited access but a limited number of words you can insert per time.,,,
PI,https://pi.ai/talk,pi.png,,Fast_The AI-tool PI gives answers immediately.;Options_You can choose from multiple voices. At the moment there are eight voices available.;Fluent_The languages are spoken very clearly.,Limited_PI is more of a chatbot than anything else which means you cannot practice or roleplay scenarios like you can with other AI-tools such as TalkPal AI or Elevenlabs. You can however have a normal conversation where it asks you about your day and things like that.;Multilangual_Although this AI-tool supports multiple languages some of them sound a bit off. English is by far the best language to use when it comes to its speaking function.,,,
LessonOrca,https://lessonorca.com/ ,lessonorca.png,,Less limited_If you don’t sign up you can only make three generations with the free plan. If you do sign up you will get unlimited access for at least two weeks.;Correction key_Only when you sign in to LessonOrca you get the answers to your worksheet.;Options_Before generating a worksheet LessonOrca asks a lot of pre-prompt questions to make the worksheet as close as possible to your idea.;Extra_Next to the worksheet generator LessonOrca also provides a lesson plan generator that you can use for free.;Lesson planning_,Slow_LessonOrca can take a few minutes to create a worksheet.;Quality_Just like TeachTools most of the generated questions are multiple-choice questions.,,,
